property_url,full_street_line,unit,estimated_value,assessed_value,sold_price,last_sold_date,months_since_sale,sqft,beds,baths,neighborhoods,list_date,tax,lot_sqft,new_construction,stories,monthly_appreciation,monthly_appreciation_rate
https://www.realtor.com/realestateandhomes-detail/3451-Trinity-St-NE_Salem_OR_97305_M94605-71179,3451 Trinity St NE,,,644695.0,280000.0,2023-06-08,25.4,2246.6,4.0,3.5,Unknown,2023-11-11 23:03:51.744471744,,9294.5,False,1.4,,
https://www.realtor.com/realestateandhomes-detail/3291-Randel-Ct-SE_Salem_OR_97302_M18778-88518,3291 Randel Ct SE,,512000.0,266370.0,122045.0,2023-06-30,24.6,1676.9,3.1,2.3,Morningside,2023-12-03 23:03:51.744471744,5229.0,10958.0,False,2.0,,
https://www.realtor.com/realestateandhomes-detail/8849-Enclid-St-NE_Salem_OR_97305_M27237-08142,8849 Enclid St NE,,443295.0,158560.0,60000.0,2021-05-28,49.7,1634.0,4.0,2.2,Unknown,2021-10-31 23:03:51.744471744,2176.0,6760.0,False,1.0,7712.0,
https://www.realtor.com/realestateandhomes-detail/251-Kens-Way-S_Salem_OR_97306_M28172-25204,251 Kens Way S,,859342.0,373110.0,120000.0,2021-07-20,48.0,2467.0,4.5,3.3,Unknown,2021-12-23 23:03:51.744471744,4735.0,10206.2,False,1.4,,
https://www.realtor.com/realestateandhomes-detail/1175-Chelsea-Ave-NW_Salem_OR_97304_M28248-49897,1175 Chelsea Ave NW,,563000.0,271870.0,283722.0,2024-11-26,7.7,2701.0,4.0,3.7,West Salem,2024-08-16 00:00:00.000000000,5123.0,11174.3,False,1.4,,
https://www.realtor.com/realestateandhomes-detail/1220-Madrona-Ave-SE_Salem_OR_97302_M17749-57662,1220 Madrona Ave SE,,476400.0,221020.0,65754.0,2021-05-13,50.2,2202.0,4.0,2.5,Morningside,2021-10-16 23:03:51.744471744,4339.0,9716.0,False,1.0,8181.0,
https://www.realtor.com/realestateandhomes-detail/6078-31st-Ave-SE_Salem_OR_97317_M12953-42839,6078 31st Ave SE,,825000.0,308889.0,250000.0,2023-12-22,18.9,2966.0,2.0,4.0,Unknown,2024-05-26 23:03:51.744471744,4137.0,12270.6,False,1.0,,
https://www.realtor.com/realestateandhomes-detail/5716-Joynak-St-S_Salem_OR_97306_M11250-75573,5716 Joynak St S,,406800.0,196450.0,91000.0,2023-02-22,28.8,1635.0,3.0,2.5,Sunnyslope,2023-07-28 23:03:51.744471744,3857.0,2526.0,False,1.4,10949.0,
https://www.realtor.com/realestateandhomes-detail/1434-Ranier-Loop-NW_Salem_OR_97304_M25531-99885,1434 Ranier Loop NW,,680400.0,390880.0,101000.0,2021-06-14,49.1,2847.0,3.0,2.5,West Salem,2021-11-17 23:03:51.744471744,6884.0,8250.0,False,2.0,11789.0,
https://www.realtor.com/realestateandhomes-detail/1930-Hampden-Ln-NE-Unit-12_Salem_OR_97305_M24232-06955,1930 Hampden Ln NE Unit 12,Unit 12,146100.0,26920.0,50000.0,2024-03-01,16.6,1262.0,3.0,1.7,Unknown,2024-01-23 00:00:00.000000000,400.0,5221.0,False,1.4,5793.0,
https://www.realtor.com/realestateandhomes-detail/2451-Nehalem-St-S_Salem_OR_97306_M95876-63283,2451 Nehalem St S,,573100.0,79090.0,145780.0,2023-06-07,25.4,1676.9,3.1,2.3,Unknown,2023-11-10 23:03:51.744471744,1003.0,6937.7,False,1.4,,
https://www.realtor.com/realestateandhomes-detail/5520-Ramp-St-NE_Salem_OR_97305_M25219-50330,5520 Ramp St NE,,550250.0,241650.0,91000.0,2021-11-24,43.8,1751.0,3.0,2.5,Unknown,2022-04-29 23:03:51.744471744,3298.0,7244.1,False,1.0,10487.0,
https://www.realtor.com/realestateandhomes-detail/8752-Wildlife-Ln-SE_Salem_OR_97317_M14107-20918,8752 Wildlife Ln SE,,404842.0,148060.0,91000.0,2023-01-19,30.0,1676.9,3.1,2.3,Unknown,2023-06-24 23:03:51.744471744,2145.0,6937.7,False,1.4,10475.0,
https://www.realtor.com/realestateandhomes-detail/575-18th-St-SE_Salem_OR_97301_M99115-12081,575 18th St SE,,562000.0,265469.9,278000.0,2024-10-18,9.0,1458.0,4.0,2.0,Northeast Neighbors,2024-10-19 00:00:00.000000000,4748.0,4792.0,False,1.4,,
https://www.realtor.com/realestateandhomes-detail/1180-7th-St-NW_Salem_OR_97304_M19306-09860,1180 7th St NW,,341200.0,124320.0,82000.0,2023-03-24,27.9,776.0,2.0,1.1,West Salem,2023-08-27 23:03:51.744471744,2342.0,5916.0,False,1.0,9304.0,
https://www.realtor.com/realestateandhomes-detail/4155-Lancaster-Dr-NE-Spc-47_Salem_OR_97305_M25462-88350,4155 Lancaster Dr NE Spc 47,Spc 47,267000.0,47850.0,119800.0,2024-08-23,10.8,1296.0,3.0,1.8,Unknown,2024-07-15 00:00:00.000000000,739.0,5361.7,False,1.4,13578.0,
https://www.realtor.com/realestateandhomes-detail/3178-Turner-Rd-SE_Salem_OR_97302_M23176-69806,3178 Turner Rd SE,,125000.0,27290.0,45000.0,2024-03-14,16.2,1248.0,3.0,1.7,Southeast Mill Creek,2024-07-30 00:00:00.000000000,545.0,5163.1,False,1.0,4950.0,
