property_url,full_street_line,unit,estimated_value,assessed_value,sold_price,last_sold_date,months_since_sale,sqft,beds,baths,neighborhoods,list_date,tax,lot_sqft,new_construction,stories,monthly_appreciation,monthly_appreciation_rate
https://www.realtor.com/realestateandhomes-detail/1125-Lewis-St-SE_Salem_OR_97302_M11360-58971,1125 Lewis St SE,,327100.0,85100.0,332900,2024-11-15,8.081471747700395,900.0,2.0,,South Central,2025-05-02,1670.0,6098.0,False,1.0,-718,-0.2156803844998498
https://www.realtor.com/realestateandhomes-detail/3804-Auburn-Rd-NE_Salem_OR_97301_M29612-67154,3804 Auburn Rd NE,,285000.0,112960.0,310000,2022-06-13,37.187910643889616,1128.0,2.0,1.5,,2024-07-30,1944.0,,False,2.0,-672,-0.2167741935483871
https://www.realtor.com/realestateandhomes-detail/4653-Jade-St-NE_Salem_OR_97305_M14572-02342,4653 Jade St NE,,490200.0,217440.0,530000,2022-08-30,34.62549277266754,1305.0,3.0,,,,3537.0,10700.0,False,1.0,-1149,-0.2167924528301887
https://www.realtor.com/realestateandhomes-detail/895-Feather-Sky-St-NW_Salem_OR_97304_M10675-07703,895 Feather Sky St NW,,519000.0,282370.0,562600,2022-07-27,35.74244415243101,2160.0,4.0,2.5,West Salem,2024-09-29,5321.0,5227.0,False,2.0,-1220,-0.2168503377177391
https://www.realtor.com/realestateandhomes-detail/550-Baldwin-Ave-NE_Salem_OR_97301_M20448-60362,550 Baldwin Ave NE,,423000.0,182380.0,435000,2024-06-27,12.713534822601838,1406.0,3.0,,,2024-12-04,3002.0,6098.0,False,1.0,-944,-0.21701149425287355
https://www.realtor.com/realestateandhomes-detail/742-Redhill-Dr-SE_Salem_OR_97302_M20896-31280,742 Redhill Dr SE,,509853.0,50070.0,562500,2021-12-17,43.03547963206307,,,,Morningside,,983.0,12165.0,False,,-1223,-0.21742222222222224
https://www.realtor.com/realestateandhomes-detail/4772-Breitenbush-Ave-NE_Salem_OR_97301_M97182-72067,4772 Breitenbush Ave NE,,464500.0,131310.0,479995,2024-04-23,14.848883048620236,2335.0,4.0,2.5,,2024-02-14,2578.0,,True,2.0,-1044,-0.21750226564860048
https://www.realtor.com/realestateandhomes-detail/3416-Covington-St-NE_Salem_OR_97305_M24682-76000,3416 Covington St NE,,305000.0,142580.0,338900,2021-09-22,45.86070959264126,1266.0,3.0,1.5,,,2395.0,920.0,False,2.0,-739,-0.21805842431395694
https://www.realtor.com/realestateandhomes-detail/3409-Lake-Vanessa-Cir-NW_Salem_OR_97304_M21660-56788,3409 NW Lake Vanessa Cir,,414600.0,,425000,2024-08-23,10.840998685939553,1976.0,3.0,,West Salem,2025-05-02,,8276.0,False,1.0,-959,-0.22564705882352942
https://www.realtor.com/realestateandhomes-detail/371-Whitesell-Ct-NE_Salem_OR_97301_M24525-35126,371 Whitesell Ct NE,,393815.0,178410.0,430000,2022-06-15,37.12220762155059,1728.0,4.0,,,2024-07-30,3326.0,,False,1.0,-975,-0.22674418604651161
https://www.realtor.com/realestateandhomes-detail/3360-Cordon-Rd-NE_Salem_OR_97305_M14174-95952,3360 Cordon Rd NE,,629400.0,211454.0,695000,2022-02-01,41.52431011826544,1352.0,2.0,1.5,,,3063.0,235224.0,False,1.0,-1580,-0.22733812949640286
https://www.realtor.com/realestateandhomes-detail/3587-13th-St-SE_Salem_OR_97302_M17891-55986,3587 13th St SE,,513400.0,245060.0,550000,2023-02-10,29.23784494086728,1727.0,3.0,,Morningside,,4811.0,10773.0,False,1.0,-1252,-0.22763636363636364
https://www.realtor.com/realestateandhomes-detail/1630-20th-St-NE_Salem_OR_97301_M15146-55053,1630 20th St NE,,419400.0,,430000,2024-08-26,10.74244415243101,1558.0,3.0,2.5,Northeast Neighbors,2024-06-26,,8276.0,False,,-987,-0.22953488372093023
https://www.realtor.com/realestateandhomes-detail/510-Leffelle-St-S_Salem_OR_97302_M29162-01257,510 Leffelle St S,,816000.0,517970.0,875000,2023-02-09,29.27069645203679,2804.0,4.0,,South Central,2024-07-30,10169.0,10890.0,False,2.0,-2016,-0.2304
https://www.realtor.com/realestateandhomes-detail/2465-Hyde-St-SE_Salem_OR_97301_M24757-06444,2465 Hyde St SE,,338000.0,99920.0,349900,2024-04-26,14.750328515111695,798.0,2.0,,Southeast Salem,2024-03-21,1961.0,9148.0,False,,-807,-0.2306373249499857
https://www.realtor.com/realestateandhomes-detail/4936-Rankin-Ct-SE_Salem_OR_97306_M96851-28675,4936 Rankin Ct SE,,578600.0,318510.0,609950,2023-09-18,22.010512483574242,1923.0,3.0,,Morningside,2024-07-30,6253.0,6098.0,True,1.0,-1424,-0.23346175916058695
https://www.realtor.com/realestateandhomes-detail/1156-Long-Ave-NE_OR_97303_M24072-96230,1156 Long Ave NE,,489000.0,170430.0,528000,2022-11-30,31.603153745072273,1038.0,,,Greater Gubser,,2883.0,13939.0,False,,-1234,-0.23371212121212123
https://www.realtor.com/realestateandhomes-detail/1155-22nd-St-NE_Salem_OR_97301_M28183-03626,1155 22nd St NE,,389000.0,171360.0,425000,2022-07-12,36.235216819973715,996.0,3.0,,Northeast Neighbors,,3364.0,7656.0,False,1.0,-994,-0.23388235294117649
https://www.realtor.com/realestateandhomes-detail/4763-Coloma-Dr-SE_Salem_OR_97302_M93493-90727,4763 SE Coloma Dr,,417177.0,183850.0,440000,2023-09-20,21.944809461235216,1290.0,3.0,,Faye Wright,2024-07-30,3609.0,8276.0,False,1.0,-1040,-0.2363636363636364
https://www.realtor.com/realestateandhomes-detail/5894-Verona-St-S_Salem_OR_97306_M98184-90409,5894 Verona St S,,744500.0,78590.0,771960,2024-04-17,15.045992115637318,2605.0,4.0,2.5,Sunnyslope,2024-04-19,1543.0,10454.0,True,,-1825,-0.23641121301621848
https://www.realtor.com/realestateandhomes-detail/2747-Nehalem-St-S_Salem_OR_97306_M99433-96069,2747 Nehalem St S,,653991.0,302330.0,680000,2024-03-18,16.031537450722734,2424.0,4.0,,,2024-10-17,3836.0,53143.0,False,2.0,-1622,-0.23852941176470588
https://www.realtor.com/realestateandhomes-detail/4825-Milo-Ave-NE_Salem_OR_97301_M93978-23083,4825 Milo Ave NE,,472000.0,288800.0,495310,2023-11-28,19.678055190538764,2335.0,4.0,2.5,,2024-09-29,5670.0,,True,2.0,-1185,-0.23924410974944985
https://www.realtor.com/realestateandhomes-detail/794-Creekside-Dr-SE_Salem_OR_97306_M10541-59801,794 Creekside Dr SE,,720575.0,486600.0,745000,2024-05-28,13.699080157687254,2825.0,4.0,2.5,South Gateway,,9554.0,8276.0,False,1.0,-1783,-0.2393288590604027
